SampleID,1893-051-B59_S51,1893-052-B60_S52,1893-053-B61_S53,1893-054-B62_S54,1893-055-B63_S55,1893-056-B64_S56,1893-057-B65_S57,1893-058-B66_S58,1893-059-B67_S59,1893-060-B68_S60,1893-061-B69_S61,1893-062-B70_S62,1893-063-B71_S63,1893-064-B72_S64,1893-065-B73_S65,1893-066-B74_S66,1893-067-B75_S67,1893-068-B76_S68,1893-069-B77_S69,1893-070-B78_S70,1893-071-B79_S71,1893-072-B80_S72,1893-073-B81_S73,1893-074-B82_S74,1893-075-B83_S75,1893-076-B84_S76,1893-077-B85_S77,1893-078-B86_S78,1893-079-B87_S79,1893-080-B88_S80,1893-081-B89_S81,1893-082-B90_S82,1893-083-B91_S83,1893-084-B92_S84,1893-085-B93_S85,1893-086-B94_S86,1893-087-B95_S87,1893-097-B48_S97,1213-045-DS1U_S95,1213-046-DS1M_S96,1213-047-DS1D_S97,1213-048-DS2U_S98,1213-049-DS2M_S99,1213-050-DS2D_S100,1213-051-DS3U_S101,1213-052-DS3M_S102,1213-053-DS3D_S103,1213-054-DS4U_S104,1213-055-DS4M_S105,1213-056-DS4D_S106,1213-057-DS5U_S107,1213-058-DS5M_S108,1213-059-DS5D_S109,1213-060-DS6U_S110,1213-061-DS6M_S111,1213-062-DS6D_S112,1213-063-DS7U_S113,1213-064-DS7M_S114,1213-065-DS7D_S115,1213-066-DS8U_S116,1213-067-DS8M_S117,1213-068-DS8D_S118,1213-069-DS9U_S119,1213-070-DS9M_S120,1213-071-DS9D_S121,1213-072-DS10U_S122,1213-073-DS10M_S123,1213-074-DS10D_S124,1213-075-14B_S125,1213-076-15B_S126,1213-077-16b_S127,1213-079-18B_S129,1213-081-20B_S131,1213-082-21B_S132,1213-084-23B_S134,1213-085-24B_S135,1213-086-26B_S136,1213-088-52B_S138,1213-090-27B_S140,1213-091-28B_S141,1213-092-29B_S142,1213-093-30B_S143,1213-094-31B_S144,1213-096-32B_S146,1213-098-33B_S148,1213-099-34B_S149,1213-100-35B_S150,1213-103-37B_S153,1213-104-38B_S154,1213-106-40B_S156,1213-107-41B_S157,1213-108-53B_S158,1213-109-B42_S159,1213-111-B43_S161,1213-112-B44_S162,1213-113-B45_S163,1213-117-B54_S167,1213-119-B55_S169,1213-121-B46_S171,1213-122-B47_S172,1213-125-B49_S175,1213-126-B50_S176,1213-127-B51_S177,1213-131-22OB_S181,1213-132-25OB_S182,1213-133-19OB_S183,1614-21-DS19-D-16_S111,1614-22-DS19-M-16_S112,1614-23-DS19-U-16_S113,1614-24-DS20-D-16_S114,1614-25-DS20-M-16_S115,1614-26-DS20-U-16_S116,1614-27-DS21-D-16_S117,1614-28-DS21-M-16_S118,1614-29-DS21-U-16_S119,1614-30-DS22-D-16_S120,1614-31-DS22-M-16_S121,1614-32-DS22-U-16_S122,1614-33-DS23-D-16_S123,1614-34-DS23-M-16_S124,1614-35-DS23-U-16_S125,1614-36-DS4-D-16_S126,1614-37-DS3-U-16_S127,1614-41-36B-16_S131,1614-42-55B-16_S132,1614-43-56B-16_S133,1614-44-57B-16_S134,1614-46-58B-16_S136,Omri001-7aon_S1,Omri003-8bon_S3,Omri005-9bon_S5,Omri007-10on_S7,Omri008-11on_S8,Omri009-12on_S9
ASV21652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV28694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV28627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV18250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV28604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ASV13833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
ASV28542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV28539,0,3,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV06396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV07877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
