SampleID,Month ,Temp,Sampling_year, Type,lineage,depth,Sample_name,Site,Sampling_date,Month_year
SOmri001_7aon_S1,10,24,2020,Whole,LM4,2,B7a,Bat_Galim,44154.00,44154.00
SOmri003_8bon_S3,10,24,2020,Whole,LM4,2,B8b,Bat_Galim,44154.00,44154.00
SOmri005_9bon_S5,10,24,2020,Whole,LM4,2,B9b,Bat_Galim,44154.00,44154.00
SOmri007_10on_S7,12,19,2020,Whole,LM4,2,10B,Bat_Galim,44204.00,44204.00
SOmri008_11on_S8,12,19,2020,Whole,LM4,2,11B,Bat_Galim,44204.00,44204.00
SOmri009_12on_S9,12,19,2020,Whole,LM4,2,12B,Bat_Galim,44204.00,44204.00
S1213_085_24B_S135,8,29,2021,Whole,LM4,2,24B,Shikmona,44434.00,44434.00
S1213_132_25OB_S182,8,29,2021,Whole,LM4,2,25OB,Shikmona,44434.00,44434.00
S1213_086_26B_S136,8,29,2021,Whole,LM4,2,26B,Shikmona,44434.00,44434.00
S1213_075_14B_S125,4,21,2021,Whole,L5,3,14B,Shikmona,44316.00,44316.00
S1213_076_15B_S126,4,21,2021,Whole,L5,3,15B,Shikmona,44316.00,44316.00
S1213_077_16b_S127,4,21,2021,Whole,L5,3,16b,Shikmona,44316.00,44316.00
S1213_079_18B_S129,6,29,2021,Whole,LM4,2,18B,Achziv,44395.00,44395.00
S1213_133_19OB_S183,6,29,2021,Whole,LM4,2,19OB,Achziv,44395.00,44395.00
S1213_081_20B_S131,6,29,2021,Whole,LM4,2,20B,Achziv,44395.00,44395.00
S1213_082_21B_S132,8,29,2021,Whole,LM4,2,21B,Bat_Galim,44412.00,44412.00
S1213_131_22OB_S181,8,29,2021,Whole,LM4,2,22OB,Bat_Galim,44412.00,44412.00
S1213_084_23B_S134,8,29,2021,Whole,LM4,2,23B,Bat_Galim,44412.00,44413.00
S1213_090_27B_S140,10,27,2021,Whole,LM4,2,27B,Shikmona,44485.00,44485.00
